Name,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3
Balika Badhu,1976.0,111.0,180,6.9,229.0,2897,1899,Rajni Sharma,Asrani
Ballad of Rustom,2012.0,117.0,269,8.1,24.0,139,384,Samiksha Bhatt,Tejaswi Bm
Ballavpur Ki Roopkatha,2017.0,120.0,162,7.5,17.0,152,246,Abha Parmar,Ankita Shrivastav
Balmaa,1993.0,0.0,409,5.7,21.0,1374,411,Ayesha Jhulka,Saeed Jaffrey
Balram Shri Krishna,1968.0,176.0,350,5.6,8.0,579,576,Savitri,Jayshree Gadkar
Balwaan,1992.0,142.0,2,4.3,179.0,646,2267,Divya Bharti,Danny Denzongpa
Balwinder Singh Famous Ho Gaya,2014.0,136.0,162,3.6,50.0,2795,390,Gabriela Bertante,Mikhill Chandiramani
Bambai Ka Babu,1996.0,0.0,84,4.9,193.0,3035,1926,Atul Agnihotri,Kajol
Bambai Ka Maharaja,1980.0,0.0,29,4.0,7.0,2617,212,Kulbhushan Kharbanda,Vidya Sinha
Bambai Raat Ki Bahon Mein,1968.0,136.0,225,6.0,13.0,1292,2285,Madhavi,David Abraham
Bamfaad,2020.0,102.0,409,7.2,1533.0,2197,81,Shalini Pandey,Vijay Varma
Banaras,2006.0,122.0,383,6.1,315.0,1786,2390,Ashmit Patel,Dimple Kapadia
Banaras,2009.0,128.0,269,3.2,24.0,1704,798,Anoop Chandran,Devan
Banarasi Babu,1997.0,126.0,162,4.2,231.0,630,768,Ramya Krishnan,Kader Khan
Banarasi Babu,1973.0,141.0,336,6.7,73.0,2573,617,Rakhee Gulzar,Yogeeta Bali
Banarasi Thug,1962.0,145.0,269,6.1,21.0,1382,1231,Vijaya Choudhury,I.S. Johar
Band Baaja Baaraat,2010.0,139.0,180,7.2,15583.0,1451,1778,Anushka Sharma,Ranjit Batra
Bandh Darwaza,1990.0,145.0,46,5.1,298.0,2666,2371,Hashmat Khan,Manjeet Kular
Bandhan,1956.0,0.0,269,6.0,6.0,941,1274,Pradeep Kumar,Motilal
Bandhan,1998.0,154.0,50,4.8,1852.0,1153,1705,Jackie Shroff,Salman Khan
Bandhan,1969.0,159.0,289,7.2,85.0,1671,1703,Mumtaz,Anju Mahendru
Bandhan Anjana,1985.0,0.0,327,6.1,13.0,1845,534,Utpal Dutt,Mazhar Khan
Bandhan Kuchchey Dhaagon Ka,1983.0,124.0,282,7.1,36.0,265,2083,Zeenat Aman,Rakhee Gulzar
Bandhe Haath,1973.0,139.0,84,5.8,100.0,1742,1358,Amitabh Bachchan,Ajit
Bandhu,1992.0,126.0,339,7.9,7.0,2928,45,Danny Denzongpa,Gitanjali
Bandi,1957.0,135.0,282,6.2,27.0,2520,377,Shyama,Kishore Kumar
Bandie,1978.0,0.0,50,4.5,26.0,176,2399,Sulakshana Pandit,Utpal Dutt
Bandini,1963.0,157.0,320,7.7,756.0,526,377,Nutan,Dharmendra
Bandish,1996.0,0.0,422,4.3,66.0,1865,871,Juhi Chawla,Paresh Rawal
Bandish,1955.0,129.0,178,7.1,17.0,2520,377,Meena Kumari,Daisy Irani
Bandish,1980.0,152.0,29,6.1,47.0,1147,1703,Hema Malini,Danny Denzongpa
Bandit Queen,1994.0,119.0,149,7.6,4518.0,2608,2025,Nirmal Pandey,Rajesh Vivek
Bandook,2013.0,132.0,240,5.9,140.0,90,1214,Arshad Khan,Ashish Kotwal
Bang Bang,2014.0,153.0,4,5.6,22436.0,2671,831,Katrina Kaif,Pawan Malhotra
Bangistan,2015.0,135.0,172,4.5,1168.0,1243,873,Michalina Olszanska,Riteish Deshmukh
Banjaran,1991.0,145.0,327,5.1,100.0,919,1836,Sridevi,Kulbhushan Kharbanda
Banjo,2016.0,137.0,47,4.9,1105.0,2216,1842,Nargis Fakhri,Aditya Kumar
Bank Chor,2017.0,120.0,19,5.9,2603.0,552,1842,Vivek Oberoi,Rhea Chakraborty
Banphool,1971.0,0.0,327,6.0,27.0,3005,920,Babita Kapoor,Shatrughan Sinha
Bansi Birju,1972.0,0.0,327,5.4,48.0,1872,207,Jaya Bachchan,Anwar Ali
Bansuri: The Flute,2021.0,108.0,269,3.7,7.0,908,303,Rituparna Sengupta,Upendra Limaye
Banwra,1950.0,148.0,269,6.0,6.0,791,1671,Lalita Pawar,Nimmi
Baraat,1960.0,0.0,269,6.0,8.0,1143,119,Shakila,Brahm Bhardwaj
Bara-Dari,1955.0,129.0,396,6.2,18.0,1143,741,Ajit,Pran
Barah Aana,2009.0,97.0,165,6.8,1166.0,2032,1406,Vijay Raaz,Arjun Mathur
Barbed Wired,2005.0,119.0,327,5.6,36.0,471,2214,Sudip Mukherjee,Rudranil Ghosh
Bardaasht,2004.0,155.0,52,5.9,661.0,753,509,Lara Dutta,Rahul Dev
Barefoot to Goa,2015.0,80.0,104,5.6,149.0,1901,2196,Ajay Chourey,Farrukh Jaffar
Barfi!,2012.0,151.0,180,8.1,77377.0,298,1761,Priyanka Chopra Jonas,Ileana D'Cruz
Bari Behen,1949.0,0.0,282,6.1,18.0,612,2281,Rehman,Ulhas
Barkha,1959.0,169.0,409,4.9,9.0,1953,1878,Jagdeep,Nanda
Barkha Bahar,1973.0,0.0,409,5.9,8.0,184,1426,Rekha,Radhakrishan
Barkhaa,2015.0,127.0,327,5.1,315.0,2541,1989,Priyanshu Chatterjee,Muntazir Ahmad
Barood,1976.0,140.0,29,6.0,84.0,1873,1836,Shoma Anand,Reena Roy
Barood,1998.0,159.0,29,4.7,626.0,1873,1736,Akshay Kumar,Raveena Tandon
Barot House,2019.0,89.0,408,7.3,1135.0,551,204,Manjari Fadnnis,Aaryan Menghji
Barsaat,1949.0,171.0,329,7.7,596.0,2011,1401,Raj Kapoor,Prem Nath
Barsaat,1995.0,166.0,77,5.4,1193.0,2110,509,Twinkle Khanna,Raj Babbar
Barsaat Ki Ek Raat,1981.0,142.0,422,6.3,312.0,2564,207,Rakhee Gulzar,Amjad Khan
Barsaat Ki Raat,1960.0,142.0,320,6.9,117.0,1768,1166,Bharat Bhushan,Shyama
Barsaat Ki Raat,1998.0,151.0,376,3.7,12.0,500,632,Dinesh Hingoo,Shafi Inamdar
Bas Ek Pal,2006.0,150.0,331,5.9,503.0,1748,952,Urmila Matondkar,Jimmy Sheirgill
Bas Itna Sa Khwaab Hai...,2001.0,169.0,331,3.7,586.0,847,1768,Abhishek Bachchan,Sushmita Sen
Bas Yaari Rakho,2000.0,0.0,173,6.5,21.0,850,1495,Pooja Batra,Rushabh Patni
Bas Yun Hi,2003.0,0.0,204,5.6,54.0,2032,1629,Nandita Das,Rajiv Gopalakrishnan
Basant,1942.0,146.0,317,6.8,21.0,212,1361,Ulhas,Mumtaz Ali
Basant,1960.0,165.0,180,6.5,33.0,518,1491,Shammi Kapoor,Minoo Mumtaz
Basant Bahar,1956.0,150.0,320,7.1,32.0,2033,464,Nimmi,Kumkum
Basanti Tangewali,1992.0,0.0,84,4.3,9.0,1234,862,Sadashiv Amrapurkar,Avtar Gill
Baseraa,1981.0,139.0,282,6.8,133.0,2183,2083,Rakhee Gulzar,Rekha
Basti,2003.0,0.0,29,7.0,27.0,2373,1142,Brij Gopal,Rajendra Gupta
Batla House,2019.0,146.0,29,7.2,10092.0,1716,938,Nora Fatehi,Mrunal Thakur
Baton Baton Mein,1979.0,112.0,208,7.5,1118.0,476,214,Tina Ambani,Asrani
Battalion 609,2019.0,131.0,432,2.8,101.0,548,2431,Kumar Gautam,Karim Hajee
Batti Gul Meter Chalu,2018.0,161.0,269,6.0,4685.0,2648,2043,Shraddha Kapoor,Divyendu Sharma
Batwara,1989.0,201.0,39,6.3,206.0,1018,632,Vinod Khanna,Dimple Kapadia
Batwara,1961.0,0.0,282,6.2,12.0,1258,1564,Nirupa Roy,Rehman
Bawandar,2000.0,125.0,269,7.0,288.0,1021,1394,Raghuvir Yadav,Deepti Naval
Bawarchi,1972.0,130.0,201,8.0,3793.0,963,1703,Jaya Bachchan,Usha Kiran
Bawre Nain,1950.0,138.0,327,6.9,36.0,1293,1671,Geeta Bali,Vijayalaxmi
Bawri Chhori,2021.0,0.0,269,5.2,79.0,152,1912,Amerjit Deu,Apurva Gondalia
Bayen Hath Ka Khel,1985.0,0.0,96,7.0,11.0,3010,1703,Tina Ambani,Pran
Bazaar,1949.0,148.0,282,6.8,6.0,1143,1453,Shyam,Gope
Bazaar,1982.0,120.0,282,7.3,481.0,2381,708,Smita Patil,Naseeruddin Shah
Bazaar E Husn,2014.0,125.0,269,4.8,15.0,123,95,Om Puri,Jeet Goswami
"Bazaar: Market of Love, Lust and Desire",2004.0,0.0,269,5.9,15.0,2072,199,Vrajesh Hirjee,Shakti Kapoor
Bazooband,1954.0,0.0,0,6.4,5.0,2165,443,Sulochana Chatterjee,Roopmala
Be Aabroo,1983.0,0.0,1,4.9,7.0,2625,445,Raj Shekhar,Apeksha
Beautiful,2020.0,123.0,269,8.5,13.0,98,1383,Parth Suri,0
Bebus,1979.0,0.0,269,6.6,7.0,1671,1703,Zaheera,Asha Sachdev
Be-Careful,2011.0,93.0,165,3.1,88.0,583,390,Ali Khan,Bobby Khan
Bechain,1993.0,135.0,50,4.8,8.0,1269,2154,Malvika Tiwari,Raza Murad
Bedaag,1965.0,0.0,282,5.4,16.0,1950,1391,Manoj Kumar,Shashikala
Bedard Zamana Kya Jane,1959.0,0.0,219,6.1,7.0,459,377,Nirupa Roy,Pran
Bedardi,1993.0,146.0,28,3.9,148.0,1334,109,Urmila Matondkar,Reena Roy
Bedhab,2019.0,0.0,401,5.8,37.0,144,1972,Karishma Kotak,Aashish Sachdeva
Beehad - The Ravine,2013.0,125.0,269,5.6,10.0,1328,1540,Satyajeet Rajput,Vikas Shrivastav
Bees Saal Baad,1962.0,158.0,429,7.1,341.0,533,504,Waheeda Rehman,Manmohan Krishna
Bees Saal Baad,1989.0,141.0,366,5.1,156.0,2108,1305,Dimple Kapadia,Meenakshi Sheshadri
Bees Saal Pehle,1972.0,0.0,363,5.3,10.0,1928,909,Anupama,Farida Jalal
Befikre,2016.0,130.0,180,3.9,7185.0,85,1778,Vaani Kapoor,Armaan Ralhan
Begaana,1963.0,0.0,282,6.4,24.0,2374,632,Supriya Choudhury,Sailesh Kumar
Begum Jaan,2017.0,128.0,45,5.6,2626.0,2713,207,Pallavi Sharda,Naseeruddin Shah
Begunaah,1991.0,0.0,29,5.4,17.0,267,1703,Ashok Kumar,Farha Naaz
Behen Hogi Teri,2017.0,128.0,162,5.6,1873.0,126,355,Rajkummar Rao,Shruti Haasan
Behind the Mirror,2005.0,88.0,269,5.9,14.0,2106,2245,Omkar Lele,Nandu Madhav
Behram Khan,1946.0,0.0,0,6.4,8.0,803,724,Mehtab,Suresh
Behroopia,1971.0,0.0,350,4.0,5.0,2082,637,Snehlata,Mehmood Jr.
Beiimaan Love,2016.0,120.0,331,2.8,439.0,2057,2275,Rajniesh Duggall,Daniel Weber
Be-Imaan,1972.0,133.0,282,6.9,75.0,2691,1231,Rakhee Gulzar,Nazima
Bekaraar,1983.0,121.0,327,3.7,27.0,2066,1970,Padmini Kolhapure,Ashok Kumar
Bekhudi,1992.0,140.0,29,4.6,192.0,2006,987,Kajol,Ajay Mankotia
Be-Lagaam,2002.0,0.0,240,2.9,16.0,2153,1575,Tanveer Zaidi,Rajeev Verma
Belly of the Tantra,2012.0,90.0,242,7.6,11.0,1788,1516,0,0
Bemisal,1982.0,142.0,282,7.0,386.0,963,207,Rakhee Gulzar,Vinod Mehra
Benaam,1974.0,117.0,326,6.8,251.0,1671,207,Moushumi Chatterjee,Satyendra Kapoor
Benaam,1999.0,126.0,273,4.4,32.0,2865,1305,Aditya Pancholi,Payal Malhotra
Benaam Badsha,1991.0,0.0,29,5.0,252.0,1160,1732,Juhi Chawla,Seema Deo
Benazir,1964.0,158.0,327,7.3,39.0,2310,1274,Ashok Kumar,Shashi Kapoor
Bengal Tiger,2001.0,121.0,28,5.3,29.0,79,1957,Mithun Chakraborty,Roshini Jaffery
Bengaloored,2010.0,0.0,327,7.7,30.0,2857,797,Meghana Mudiyam,Srinivasa Prabhu
Benny and Babloo,2010.0,123.0,172,6.1,349.0,3122,1040,Rajpal Yadav,Aasif Sheikh
Bepanaah,1985.0,156.0,282,6.2,42.0,1036,2083,Mithun Chakraborty,Poonam Dhillon
Beqabu,1996.0,0.0,43,4.1,59.0,1625,1972,Mamta Kulkarni,Amrish Puri
Beqasoor,1950.0,0.0,269,6.7,17.0,1143,1166,Ajit,Pramila
Beqasoor,1980.0,0.0,29,4.6,11.0,446,2455,Vijay Arora,Master Bhagwan
Be-Reham,1980.0,147.0,38,6.8,32.0,1991,1981,Mala Sinha,Shatrughan Sinha
Be-Shaque,1981.0,121.0,98,6.3,30.0,1260,1305,Amrish Puri,Sonia Sahni
Besharam,1978.0,139.0,39,5.4,114.0,678,2078,Amitabh Bachchan,Bindu
Besharam,2013.0,143.0,25,3.6,5355.0,53,1761,Pallavi Sharda,Rishi Kapoor
Beta,1992.0,171.0,327,6.3,1956.0,981,251,Madhuri Dixit,Aruna Irani
Beta Ho To Aisa,1994.0,0.0,269,3.8,45.0,559,1794,Vikas Anand,Anuradha
Betaab,1983.0,162.0,347,6.6,532.0,2006,2059,Nirupa Roy,Prem Chopra
Betaabi,1997.0,188.0,327,4.4,104.0,2085,533,Arshad Warsi,Anjala Zaveri
Betaaj Badshah,1994.0,166.0,39,4.8,44.0,991,1636,Shatrughan Sinha,Jay Mehta
Beti,1969.0,135.0,269,5.8,10.0,919,1391,Sanjay Khan,Kishore Sahu
Beti Bete,1964.0,145.0,173,6.8,31.0,1363,2263,Saroja Devi B.,Jamuna
Beti No. 1,2000.0,0.0,173,3.7,241.0,2161,1732,Laxmikant Berde,Birbal
Between The Lines,2014.0,78.0,269,7.2,40.0,2261,1394,Subodh Maskara,0
Bewafa,1952.0,112.0,327,7.6,80.0,1398,1401,Ashok Kumar,Raj Kapoor
Bewafa Sanam,1995.0,144.0,327,5.1,104.0,869,1078,Shilpa Shirodkar,Sagar
Bewafaa,2005.0,151.0,327,4.4,2393.0,694,251,Akshay Kumar,Kareena Kapoor
Bewafai,1985.0,145.0,327,5.6,58.0,1958,1703,Rajinikanth,Padmini Kolhapure
Bewaffa Se Waffa,1992.0,172.0,409,4.9,75.0,2357,2507,Juhi Chawla,Nagma
Bewajah,2017.0,127.0,427,6.3,30.0,1025,285,Vishvendra Singh,Dhirendra Gupta
Bewakoofiyaan,2014.0,119.0,180,5.5,3938.0,1739,422,Sonam Kapoor,Rishi Kapoor
Bewaqoof,1960.0,160.0,376,5.2,35.0,969,1068,Mala Sinha,I.S. Johar
Beyond All Boundaries,2013.0,97.0,250,8.0,158.0,2849,1111,0,0
Beyond Blue: An Unnerving Tale of a Demented Mind,2015.0,99.0,228,6.7,7.0,3133,2375,Isheta Sarckar,Dipti Joshi
Beyond Bollywood,2013.0,64.0,246,6.1,58.0,77,1873,Pooja Kasekar,Harry Key
Beyond the Clouds,2017.0,120.0,282,7.0,2148.0,1438,859,Malavika Mohanan,Goutam Ghose
Bezubaan,1982.0,137.0,327,7.3,70.0,473,2131,Shashi Kapoor,Reena Roy
Bezubaan Ishq,2015.0,128.0,396,4.0,68.0,1064,1344,Sneha Ullal,Nishant Malkani
Bhaag Johnny,2015.0,118.0,65,5.2,963.0,2634,1109,Zoa Morani,Mandana Karimi
Bhaag Milkha Bhaag,2013.0,186.0,157,8.2,62636.0,2141,704,Sonam Kapoor,Pawan Malhotra
Bhaagte Raho,2018.0,115.0,162,3.6,18.0,1859,1845,Mukesh Fotwani,Dinesh Hingoo
Bhaangarh,2014.0,0.0,363,6.7,32.0,722,64,Suzzana Mukherjee,Debonita Sur
Bhabhi,1991.0,145.0,173,4.1,131.0,1308,462,Govinda,Juhi Chawla
Bhabhi,1957.0,165.0,269,6.7,47.0,1953,1878,Balraj Sahni,Pandharibai
Bhabhi Ki Chudiyan,1961.0,168.0,282,5.4,30.0,2374,443,Meena Kumari,Sailesh Kumar
Bhabhipedia,2018.0,107.0,208,8.3,84.0,2521,902,Hrishitaa Bhatt,Rajkumar Kanojia
Bhabi,1938.0,0.0,282,6.3,9.0,788,1821,Paidi Jairaj,Meera
Bhadaas,2013.0,89.0,427,2.5,26.0,129,1280,Aryeman Ramsay,Ashutosh Kaushik
Bhagam Bhag,1956.0,101.0,19,6.0,21.0,1516,1068,Shashikala,Smriti Biswas
Bhagam Bhag,2006.0,157.0,183,6.5,11651.0,1925,146,Govinda,Paresh Rawal
Bhagat Gora Kumbhar,1978.0,0.0,303,6.8,8.0,728,1720,Ramesh Mehta,Shrikant Soni
Bhagat Singh,2002.0,0.0,269,3.2,6.0,233,601,Kumar Hegde,Mukul Nag
Bhagawat Ek Jung,2001.0,113.0,1,4.6,18.0,653,1305,Manvi Goswami,Mohan Joshi
Bhageeratha,2005.0,158.0,39,5.6,227.0,2206,1806,Shriya Saran,Brahmanandam
Bhagmati,2005.0,160.0,141,6.1,57.0,378,2320,Milind Soman,J.V. Somayajulu
Bhago Bhoot Aayaa,1985.0,0.0,196,5.9,43.0,1329,377,Deven Verma,Kaajal Kiran
Bhago Boot,2001.0,81.0,339,6.5,14.0,2385,2475,Nedumudi Venu,0
Bhagwaan Dada,1986.0,147.0,336,4.3,169.0,1012,1712,Rakesh Roshan,Sridevi
Bhagwan Parshuram,1970.0,136.0,269,8.7,10.0,459,1462,Shalini,Trilok Kapoor
Bhagwan Shri Krishna,1985.0,138.0,8,6.0,10.0,2187,121,Kumud Bole,Manher Desai
Bhagyawan,1994.0,136.0,269,4.4,68.0,2330,768,Juhi Chawla,Pran
Bhai,1997.0,147.0,39,5.1,353.0,656,2267,Pooja Batra,Sonali Bendre
Bhai Bahen,1969.0,151.0,282,4.9,24.0,1,377,Sunil Dutt,Nutan
Bhai Bhai,1970.0,0.0,43,5.7,18.0,2033,2263,Asha Parekh,Mumtaz
Bhai Bhai,1997.0,172.0,1,3.8,24.0,2677,1200,Samrat Mukherjee,Megha
Bhai Ho To Aisa,1972.0,131.0,20,5.7,37.0,1483,920,Hema Malini,Shatrughan Sinha
Bhai Thakur,2000.0,118.0,39,3.2,9.0,3098,1679,Willy,Dharmendra
Bhai-Bahen,1959.0,136.0,282,6.0,5.0,796,568,Rajan Kapoor,Kathana
Bhai-Bhai,1956.0,164.0,269,5.8,15.0,1404,377,Kishore Kumar,Nimmi
Bhairav,2001.0,133.0,1,4.6,29.0,2865,811,Mithun Chakraborty,Jack Gaud
Bhairava Dweepam,1994.0,162.0,4,7.8,533.0,2680,1392,Roja,Satyanarayana Kaikala
Bhairavi,1996.0,145.0,320,5.3,35.0,345,386,Sridhar,Manohar Singh
Bhaiyya,1961.0,0.0,282,7.4,7.0,1825,2345,Vijaya Choudhury,Gopal
Bhakta Dhruva,1947.0,0.0,105,5.3,7.0,2581,921,Sashi Kapoor,Leela Mishra
Bhakta Prahlad,1932.0,0.0,269,5.5,6.0,1228,1437,Hydershah,Kumar Mukund
Bhakta Siriyala,1980.0,154.0,155,7.1,19.0,964,316,K.S. Ashwath,Sharapanjara Iyengar
Bhakti Mein Shakti,1979.0,140.0,106,7.5,13.0,625,576,Satish Kaul,Bharat Bhushan
Bhala Manus,1976.0,138.0,327,4.6,11.0,3082,1764,Neetu Singh,Aruna Irani
Bhale Donga,1989.0,0.0,20,3.3,108.0,1310,1392,Mohan Babu,Brahmanandam
Bhalevadivi Basu,2001.0,156.0,340,4.6,35.0,1764,1392,Anjala Zaveri,Shilpa Shetty Kundra
Bhamashah,2017.0,83.0,269,6.2,11.0,3037,634,Daya Shankar Pandey,Manoj Shah
Bhangarh: The Last Episode,2017.0,84.0,363,5.5,15.0,248,1579,Deepanshu Malik,Rumana Molla
Bhangover,2017.0,115.0,162,5.1,34.0,1417,1606,Aradhya Taing,Anmol Khatri
Bhangra Paa Le,2020.0,131.0,177,6.0,287.0,2685,2274,Rukshar Dhillon,Shriya Pilgaonkar
Bhanwar,1976.0,135.0,327,6.2,24.0,497,377,Randhir Kapoor,Parveen Babi
Bhanwarey,2017.0,120.0,162,6.8,58.0,2603,2086,Karhan Dev,Jashan Singh Kohli
Bharat,2019.0,150.0,20,4.9,22598.0,173,1940,Katrina Kaif,Sunil Grover
Bharat Bhagya Vidhata,2002.0,160.0,15,5.7,13.0,386,533,Flora Saini,Shatrughan Sinha
Bharat Milap,1942.0,170.0,106,6.6,9.0,3005,1600,K.B. Athavale,Umakant Desai
Bharati Mata,1932.0,0.0,0,6.1,12.0,1824,787,Jamshedji,Jillo
Bharosa,1963.0,0.0,180,6.1,24.0,1161,781,Asha Parekh,Mehmood
Bharosa,1981.0,0.0,123,6.0,5.0,1538,1703,Zaheera,Sujit Kumar
Bhasmasur,2017.0,74.0,269,6.8,132.0,1724,844,Mittal Chouhan,Trimala Adhikari
Bhavani Junction,1985.0,128.0,38,5.8,48.0,886,2083,Shatrughan Sinha,Zeenat Aman
Bhavesh Joshi Superhero,2018.0,154.0,29,7.6,7479.0,3040,804,Priyanshu Painyuli,Ashish Verma
Bhavna,1984.0,0.0,269,6.9,35.0,1904,2031,Marc Zuber,Saeed Jaffrey
Bhavnao Ko Samjho,2010.0,114.0,20,4.3,76.0,2802,1161,Nitin Anand,Dinesh Bawara
Bhavni Bhavai,1981.0,135.0,172,6.6,114.0,1280,2166,Naseeruddin Shah,Mohan Gokhale
Bhawani Mandi Tesan,2018.0,0.0,162,6.4,5.0,2528,1147,Prashant Narayanan,Jaideep Ahlawat
Bhayaanak,1998.0,105.0,363,4.3,6.0,1955,249,Tina Ghai,Bharat Kapoor
Bhayaanak Mahal,1988.0,113.0,363,3.4,8.0,460,434,Ravi,Jaya Rekha
Bhayaanak Panjaa,2003.0,95.0,363,4.9,24.0,1955,501,Shail Chaturvedi,Anil Dhawan
Bhayanak Maut,2000.0,0.0,363,6.5,8.0,511,1986,Jai Thakur,Amit Pachori
Bheegi Palkein,1982.0,142.0,409,6.4,18.0,2681,1668,Smita Patil,Dina Pathak
Bheegi Raat,1965.0,157.0,180,6.2,40.0,1204,377,Meena Kumari,Pradeep Kumar
Bheema Mera Haathi,1973.0,0.0,269,4.4,8.0,831,556,Sridevi,Vijayalalitha
Bheja Fry,2007.0,95.0,172,7.6,11444.0,2379,2476,Rajat Kapoor,Sarika
Bheja Fry 2,2011.0,129.0,172,4.7,1302.0,2379,2476,Kay Kay Menon,Minissha Lamba
Bheja Fry 3,2017.0,0.0,162,6.8,15.0,2379,2476,Rajat Kapoor,0
Bhikharan,1935.0,143.0,269,6.2,9.0,1917,1790,Master Vinayak,I.A. Hafizji
Bhindi Baazaar,2011.0,157.0,227,6.1,673.0,278,1040,Prashant Narayanan,Pawan Malhotra
Bhishma,1996.0,0.0,84,4.2,32.0,1030,1305,Harish,Anjali Jathar
BHK Bhalla@Halla.Kom,2016.0,122.0,162,5.9,74.0,2128,2383,Inshika Bedi,Manoj Pahwa
Bhobhar - The Live Ash,2012.0,100.0,291,4.9,9.0,806,2485,Vasudev Bhatt,Vishal Bhatt
Bhola Bhala,1978.0,0.0,29,6.3,28.0,2514,1703,Rekha,Moushumi Chatterjee
Bhola in Bollywood,2004.0,0.0,162,6.3,19.0,2777,156,Raj Babbar,Suresh Chatwal
Bhonsle,2018.0,128.0,269,7.0,1257.0,676,1225,Santosh Juvekar,Ipshita Chakraborty Singh
Bhooka Sher,1984.0,165.0,1,4.8,12.0,970,7,Rajinikanth,Seema
Bhooka Sher,2001.0,109.0,1,5.0,23.0,933,632,Shakti Kapoor,Sikander Khan
Bhookailas,1958.0,174.0,317,7.1,143.0,1161,1374,Akkineni Nageshwara Rao,Jamuna
Bhookamp,1993.0,0.0,52,5.0,23.0,820,717,Harbans Darshan M. Arora,Deven Bhojani
Bhookh,1978.0,0.0,29,6.6,5.0,886,1751,Shatrughan Sinha,Reena Roy
Bhool,1984.0,0.0,269,6.2,5.0,2901,216,Tamanna,Tariq
Bhool Bhulaiyaa,2007.0,159.0,194,7.3,22777.0,1925,146,Vidya Balan,Shiney Ahuja
Bhool Bhulaiyan,1933.0,0.0,162,6.0,6.0,1072,750,Dixit,Kamlabai Gokhale
Bhoomi,2017.0,136.0,29,5.3,1755.0,1747,2067,Sunny Leone,Aditi Rao Hydari
Bhoot,2003.0,113.0,368,6.5,3476.0,2147,109,Urmila Matondkar,Nana Patekar
Bhoot and Friends,2010.0,133.0,129,5.8,96.0,1255,1471,Ashish Kattar,Faiz Khan
Bhoot Bhungla,1997.0,0.0,162,3.8,13.0,430,768,Shakti Kapoor,Kader Khan
Bhoot Bungla,1965.0,145.0,194,6.5,106.0,1532,1289,Tanuja,Nasir Hussain
Bhoot Ka Darr,1999.0,85.0,363,4.0,9.0,2308,1986,Junior Amitabh Bachchan,Jyoti Rana
Bhoot Ke Peeche Bhoot,2003.0,0.0,363,3.4,8.0,1301,811,Pinky Chinoy,Mohan Joshi
Bhoot Raaj,2000.0,0.0,363,3.2,8.0,1836,1612,Satnam Kaur,Shakti Kapoor
Bhoot Returns,2012.0,85.0,368,2.5,513.0,2147,868,Madhu Shalini,Alayana Sharma
Bhoot: Part One - The Haunted Ship,2020.0,114.0,368,5.4,4236.0,494,2433,Ashutosh Rana,Meher Vij
Bhoothnath Returns,2014.0,155.0,174,6.6,5030.0,1726,207,Boman Irani,Parth Bhalerao
Bhootnath,2008.0,150.0,173,6.3,8460.0,3091,207,Juhi Chawla,Satish Shah
Bhootnath,1963.0,129.0,90,6.5,60.0,1659,1314,Vijaya Choudhury,Rajan Haksar
Bhootni,2000.0,0.0,363,2.4,5.0,1006,1056,Johnny Lever,Raza Murad
Bhopal Express,1999.0,100.0,269,7.1,367.0,1430,1040,Nethra Raghuraman,Zeenat Aman
Bhopal: A Prayer for Rain,2014.0,96.0,269,7.2,1968.0,2220,1245,Mischa Barton,Kal Penn
Bhopali,2011.0,89.0,262,8.0,58.0,2967,1925,Salam Babu,Rashida Bee
Bhor: Dawn,2018.0,93.0,269,7.8,147.0,1208,626,Saveree Gaur,Nalneesh Neel
Bhouri,2016.0,140.0,269,6.7,403.0,1059,1646,Masha Pour,Kunickaa Sadanand
Bhram: An Illusion,2008.0,0.0,324,4.0,113.0,1815,666,Milind Soman,Sheetal Menon
Bhrashtachar,1989.0,153.0,29,4.6,119.0,2182,1819,Mithun Chakraborty,Anupam Kher
Bhuddah Hoga Tera Baap,2011.0,114.0,19,5.6,2782.0,1939,207,Hema Malini,Sonu Sood
Bhumika,1977.0,142.0,269,7.4,585.0,2662,2166,Anant Nag,Naseeruddin Shah
Bhuvan Shome,1969.0,96.0,172,7.5,400.0,1595,2396,Suhasini Mulay,Shekhar Chatterjee
Bichhoo,2000.0,160.0,29,5.0,2807.0,866,509,Rani Mukerji,Ashish Vidyarthi
Bidaai,1974.0,144.0,320,6.5,54.0,1363,920,Leena Chandavarkar,Durga Khote
Bidyapati,1937.0,141.0,269,7.0,23.0,637,1509,Durgadas Bannerjee,Chhayadevi
Big Brother,2007.0,128.0,29,3.8,781.0,866,2271,Priyanka Chopra Jonas,Vikas Anand
Bihari Gunda,1987.0,0.0,1,5.0,6.0,2340,1645,Rajinikanth,Roobini
Bijuka,2012.0,74.0,269,6.4,22.0,390,343,Amit Purohit,Janardhan Mishra
Bikhare Moti,1971.0,0.0,50,3.6,13.0,2887,920,Babita Kapoor,Sujit Kumar
Bilal,2008.0,92.0,241,7.1,36.0,2706,0,0,0
Billa,1989.0,0.0,19,6.6,19.0,2028,879,Goundamani,Jaishankar
Billa No. 786,2000.0,140.0,1,4.4,34.0,972,1305,Gajendra Chauhan,Siddharth Dhawan
Billa Ranga,1982.0,113.0,30,7.5,53.0,1189,551,Mohan Babu,Radhika Sarathkumar
